GrossCon,HourUTC,ElectricBoilerCon,HourDK,LocalPowerProd,NetCon,ExchangeGreatBelt,OffshoreWindPower,CentralProd,ExchangeNordicCountries,ExchangeContinent,OnshoreWindPower,PriceArea,SolarPowerProd
2271.205555,2018-05-11T09:00:00+00:00,4.304851,2018-05-11T11:00:00,297.192443,2204.82281,-59.1,75.9300325361405,385.099729,1609.533,-772.54,294.090350463859,DK1,441
2771.416614,2018-05-23T10:00:00+00:00,0.941002,2018-05-23T12:00:00,260.279138,2708.631696,-370.1,13.3261084184686,423.46771,1524.976,443.79,34.6776575815314,DK1,441
2381.180744,2018-07-27T11:00:00+00:00,0.317761,2018-07-27T13:00:00,211.042303,2312.178679,-516.3,134.804161498763,311.1413,162.565,1185.01,451.917979501237,DK1,441
2292.668508,2018-07-20T11:00:00+00:00,0.265268,2018-07-20T13:00:00,277.280354,2239.466588,-567.4,312.610236964132,355.9759,295.537,346.68,830.985017035868,DK1,441
2617.483079,2018-05-14T12:00:00+00:00,3.254299,2018-05-14T14:00:00,246.771502,2567.843841,-376.7,188.667052506877,187.494163,979.078,649.22,302.952361493123,DK1,440
2870.014973,2018-06-25T11:00:00+00:00,3.9325,2018-06-25T13:00:00,302.701816,2767.992263,-591.7,396.133910625932,33.588012,1692.778,72.2357,524.277534374068,DK1,440
2233.28056,2018-06-02T10:00:00+00:00,13.363973,2018-06-02T12:00:00,208.536211,2174.546466,-265.3,2.74060831597701,26.232653,334.976,1478.01,9.08508768402299,DK1,439
2796.565924,2018-04-06T10:00:00+00:00,40.827735,2018-04-06T12:00:00,398.141972,2690.065392,213.4,441.531671498164,794.215499,-2027.853,1481.48,1056.64978150184,DK1,439
2484.924192,2018-07-24T11:00:00+00:00,0.060871,2018-07-24T13:00:00,239.272841,2387.252823,-538.9,23.9951256196364,362.2162,1031.598,821.7747,105.967525380364,DK1,439
2827.226414,2018-05-30T12:00:00+00:00,12.0281,2018-05-30T14:00:00,206.240667,2742.447603,-563.4,465.040217996218,30.602444,826.065,251.71,1172.96808500378,DK1,438
1953.718424,2018-07-15T12:00:00+00:00,1.301041,2018-07-15T14:00:00,245.833387,1907.410335,-492.3,52.5224892329376,260.8134,-337.311,1513.61,272.550347767062,DK1,438
2384.822952,2018-06-29T13:00:00+00:00,14.669536,2018-06-29T15:00:00,253.767251,2340.09435,-203.2,486.864292679947,31.208597,-238.296,672.97,944.508811320054,DK1,437
2571.995043,2018-08-02T11:00:00+00:00,0.28527,2018-08-02T13:00:00,192.426859,2509.033122,-564.7,45.528857642118,353.2137,1128.992,742.97,236.563426357882,DK1,437
1940.203021,2018-07-21T12:00:00+00:00,0.308633,2018-07-21T14:00:00,219.13184,1887.959846,-563,48.7954157203771,362.2326,-719.805,1498.43,658.418165279623,DK1,436
2147.066714,2018-07-01T11:00:00+00:00,30.553294,2018-07-01T13:00:00,222.881746,2102.262598,-263,18.0941681897696,0,-90.16,1522.11,301.14059981023,DK1,436
2213.297341,2018-07-07T09:00:00+00:00,3.053667,2018-07-07T11:00:00,217.203521,2091.370829,-519.9,699.906155589403,24.127089,-1768.881,1529.49,1595.3517754106,DK1,436
2944.543415,2018-04-11T10:00:00+00:00,148.191832,2018-04-11T12:00:00,326.998709,2845.182161,-174.9,738.193049116691,606.296055,-1793.15,853.96,1952.14560188331,DK1,435
2814.797597,2018-05-23T11:00:00+00:00,1.472908,2018-05-23T13:00:00,248.937139,2749.772559,-370.2,20.7705751344965,397.344933,1513.7,512.28,56.9649498655035,DK1,435
2814.525624,2018-06-27T10:00:00+00:00,0.068133,2018-06-27T12:00:00,270.981906,2764.289257,-514.9,17.9216790283669,727.049724,1213.783,642.13,22.5591149716331,DK1,435
2865.483272,2018-06-06T10:00:00+00:00,44.355766,2018-06-06T12:00:00,245.36196,2780.78371,-258.5,164.117415390045,36.361099,1705.761,402.07,135.311797609955,DK1,435
2700.178354,2018-05-16T12:00:00+00:00,2.465233,2018-05-16T14:00:00,221.295285,2626.333925,-384.5,438.994283923242,247.250736,358.756,260.49,1123.89204907676,DK1,434
2579.956434,2018-06-01T12:00:00+00:00,13.171514,2018-06-01T14:00:00,220.686485,2494.72476,-590.9,163.764629336566,28.489088,1312.909,565.44,445.567231663434,DK1,434
2867.94771,2018-05-31T11:00:00+00:00,1.271123,2018-05-31T13:00:00,221.252783,2807.931272,-464.4,378.460382431155,28.965707,675.568,631.03,963.070837568844,DK1,434
2603.717157,2018-06-08T12:00:00+00:00,0.083947,2018-06-08T14:00:00,244.9193,2528.226683,-566.6,42.7059706085003,166.715645,1626.953,586.57,69.4532413914997,DK1,433
2480.623484,2018-07-24T10:00:00+00:00,0.060856,2018-07-24T12:00:00,238.133535,2384.584759,-541.4,26.9964762603464,362.5936,1048.647,818.489,94.1640727396536,DK1,433
2723.497033,2018-06-19T12:00:00+00:00,46.844699,2018-06-19T14:00:00,268.894194,2673.622148,-475.8,602.510577582118,256.219604,19.419,-119.1652,1738.41885741788,DK1,433
2660.864833,2018-04-19T11:00:00+00:00,1.795351,2018-04-19T13:00:00,266.975492,2604.114837,-591.8,283.805779811008,952.653017,-342.885,1436.41,223.705544188992,DK1,432
2337.504043,2018-07-20T10:00:00+00:00,0.285731,2018-07-20T12:00:00,284.947371,2281.701912,-452.4,258.664014041408,362.5824,393.11,183.75,874.850457958592,DK1,432
2407.500454,2018-07-27T10:00:00+00:00,0.367545,2018-07-27T12:00:00,271.037436,2338.354174,-351,144.275807466049,370.7062,694.762,485.99,360.729210533951,DK1,431
2678.044795,2018-07-09T12:00:00+00:00,1.242679,2018-07-09T14:00:00,289.858076,2594.761369,-591.7,651.352344081818,165.713773,-730.409,620.26,1841.96980191818,DK1,431
2747.346718,2018-07-09T11:00:00+00:00,1.235492,2018-07-09T13:00:00,293.786001,2664.9462,-591.7,720.473377950539,166.145794,-857.217,727.88,1856.97854504946,DK1,431
2478.638624,2018-07-16T10:00:00+00:00,1.279895,2018-07-16T12:00:00,320.637055,2407.419225,-227.8,14.7327871390247,390.291514,1299.344,197.87,52.5634678609753,DK1,431
2835.931537,2018-05-24T09:00:00+00:00,3.684261,2018-05-24T11:00:00,232.8692,2781.442117,-371.1,124.648992581079,388.897298,983.732,659.38,386.504046418921,DK1,431
1965.104107,2018-05-20T09:00:00+00:00,1.761946,2018-05-20T11:00:00,233.377097,1922.693502,-279.9,77.2019899883664,362.160481,-466.17,1492.6,114.834539011634,DK1,431
2794.395112,2018-05-22T09:00:00+00:00,1.317328,2018-05-22T11:00:00,269.589581,2729.939826,-372.1,65.8624176427886,382.404406,1526.768,197.18,294.690707357211,DK1,430
2475.796989,2018-07-16T11:00:00+00:00,1.28213,2018-07-16T13:00:00,321.400277,2402.011628,-383,20.333617759582,390.953743,1248.068,349.26,98.781551240418,DK1,430
2078.270335,2018-05-05T09:00:00+00:00,1.229623,2018-05-05T11:00:00,257.66228,2039.929029,-468.3,53.1413513511033,167.043979,-85.741,1449.03,275.433724648897,DK1,430
2839.065053,2018-06-06T11:00:00+00:00,18.717105,2018-06-06T13:00:00,251.732509,2774.122692,-153.3,151.154070510634,26.833322,1424.156,558.52,149.969151489366,DK1,430
2909.132279,2018-05-30T09:00:00+00:00,11.210909,2018-05-30T11:00:00,235.196547,2833.30348,-573.5,611.043238999865,29.032396,997.662,167.46,1013.23809700014,DK1,429
2176.431741,2018-06-30T09:00:00+00:00,13.16553,2018-06-30T11:00:00,239.318776,2134.400937,-38,4.77824932314417,29.740078,9.63299999999998,1234.04,267.921637676856,DK1,429
2521.065533,2018-08-02T12:00:00+00:00,0.263322,2018-08-02T14:00:00,185.900439,2458.465768,-542.8,35.7725890796684,352.663,1205.956,631.49,223.083304920332,DK1,429
2801.520487,2018-05-16T11:00:00+00:00,44.366242,2018-05-16T13:00:00,247.232389,2729.021986,-371.2,453.841427480979,267.063269,988.86,-112.78,899.503401519021,DK1,429
2089.380886,2018-07-01T12:00:00+00:00,19.683766,2018-07-01T14:00:00,223.151251,2041.062912,-298.8,31.8922109419413,0,-146.726,1514.84,336.023224058059,DK1,429
2127.796453,2018-06-02T12:00:00+00:00,12.756361,2018-06-02T14:00:00,212.47795,2071.629584,-236.3,1.49171754139347,0,197.992,1472.1,51.0347854586065,DK1,429
2953.596617,2018-06-07T09:00:00+00:00,1.050235,2018-06-07T11:00:00,225.177134,2863.705715,-202.2,121.868360372855,350.0742,2128.948,-331.74,233.468922627145,DK1,428
2572.666474,2018-08-02T10:00:00+00:00,0.289372,2018-08-02T12:00:00,191.253635,2506.387447,-567.8,45.8458431782447,353.3181,986.885,961.59,173.573895821755,DK1,428
2065.196797,2018-05-26T12:00:00+00:00,2.199972,2018-05-26T14:00:00,199.630372,2021.221196,-591.7,131.61047471185,116.693799,-108.112,1467.11,421.96415128815,DK1,428
1976.905104,2018-05-06T09:00:00+00:00,3.309597,2018-05-06T11:00:00,248.678426,1932.842706,-4.7,132.78586339113,132.712918,-464.628,1437.9,66.1558966088702,DK1,428
1882.391701,2018-05-20T12:00:00+00:00,1.104227,2018-05-20T14:00:00,215.281547,1838.963131,-424.4,25.3889521779255,412.773165,-449.82,1503.63,171.538036822074,DK1,428
2845.883654,2018-06-27T11:00:00+00:00,0.107029,2018-06-27T13:00:00,299.852408,2792.240734,-510.4,17.6687896184286,746.62668,1189.74,639.86,34.5357763815714,DK1,428
2669.619749,2018-05-15T12:00:00+00:00,2.414628,2018-05-15T14:00:00,294.677268,2610.727587,-384.5,7.24294803437498,677.625273,1188.255,414.12,44.199259965625,DK1,428
2896.867432,2018-05-17T09:00:00+00:00,121.018591,2018-05-17T11:00:00,194.709406,2835.619889,-371.2,489.438767042695,436.953205,915.85,74.38,728.736053957305,DK1,428
2904.031536,2018-03-20T11:00:00+00:00,0.385592,2018-03-20T12:00:00,562.726723,2833.893716,-591.5,296.848775165434,1357.258313,-1581.447,1557.57,875.574724834566,DK1,427
2316.11665,2018-07-27T12:00:00+00:00,0.278986,2018-07-27T14:00:00,204.775267,2262.149263,-516.3,143.58587476032,358.4448,-349.947,1459.29,589.26790823968,DK1,427
2865.711958,2018-06-13T09:00:00+00:00,1.255049,2018-06-13T11:00:00,360.080472,2785.974692,-591.6,378.761154985211,304.4164,-201.087,581.23,1606.91093101479,DK1,427
