,Hours,NO net exchange,SE net exchange,FI net exchange,DK,EE net exchange,LV net exchange,LT net exchange
01/07/2018,18 - 19,1637,-2515,2178,2363,-248,530,903
01/07/2018,19 - 20,629,-2716,2215,2419,-304,541,920
01/07/2018,20 - 21,193,-2982,2062,2429,-337,522,913
01/07/2018,21 - 22,681,-2985,2102,2396,-375,491,900
01/07/2018,22 - 23,565,-3009,2066,2348,-393,449,803
01/07/2018,23 - 00,1121,-2731,1673,2329,-363,385,699
02/07/2018,00 - 01,1009,-1251,1278,2207,-583,347,649
02/07/2018,01 - 02,1678,-1188,1131,2197,-626,341,649
02/07/2018,02 - 03,1894,-1265,1067,2161,-704,49,611
02/07/2018,03 - 04,2146,-1406,1072,2104,-675,300,639
02/07/2018,04 - 05,2425,-1893,1357,2016,-656,283,557
02/07/2018,05 - 06,1663,-2010,2063,2121,-585,273,805
02/07/2018,06 - 07,-1212,-2238,2330,2552,-490,244,1025
02/07/2018,07 - 08,-3490,-2435,2304,2736,-381,255,1033
02/07/2018,08 - 09,-4048,-2655,2226,2961,-290,318,1096
02/07/2018,09 - 10,-3463,-2492,2339,2630,-337,337,1111
02/07/2018,10 - 11,-3424,-2303,2565,2649,-339,342,1217
02/07/2018,11 - 12,-3572,-2303,2506,2636,-361,332,1261
02/07/2018,12 - 13,-3593,-2517,2465,2482,-326,446,1257
02/07/2018,13 - 14,-3540,-2343,2454,2250,-343,453,1300
02/07/2018,14 - 15,-3259,-2287,2391,2002,-337,430,1260
02/07/2018,15 - 16,-3083,-2136,2473,1684,-381,421,1299
02/07/2018,16 - 17,-2923,-2411,2555,1512,-394,512,1263
02/07/2018,17 - 18,-3325,-2636,2393,1679,-298,501,1235
02/07/2018,18 - 19,-3573,-3117,2422,1837,-167,479,1187
02/07/2018,19 - 20,-3942,-3288,2235,1977,-166,465,1161
02/07/2018,20 - 21,-4033,-3369,2103,2133,-192,445,1066
02/07/2018,21 - 22,-4130,-3505,2230,1955,-199,410,1103
02/07/2018,22 - 23,-3949,-2973,2195,1970,-248,357,1005
02/07/2018,23 - 00,-1081,-1924,1674,1776,-303,271,914
03/07/2018,00 - 01,144,-1457,1418,1616,-314,227,888
03/07/2018,01 - 02,1005,-1257,1271,1468,-285,208,1277
03/07/2018,02 - 03,1673,-1390,1310,1494,-196,-156,1279
03/07/2018,03 - 04,1726,-1806,1442,1604,-352,181,1275
03/07/2018,04 - 05,1677,-2307,1670,1739,-341,199,1294
03/07/2018,05 - 06,545,-2209,2107,1823,-246,287,1091
03/07/2018,06 - 07,-2008,-2828,2308,2060,-127,397,1149
03/07/2018,07 - 08,-4045,-3148,2325,2637,-17,263,1208
03/07/2018,08 - 09,-4314,-3258,2217,2828,44,101,1315
03/07/2018,09 - 10,-4277,-2977,2299,2549,50,109,1318
03/07/2018,10 - 11,-4052,-2699,2329,2500,53,108,1337
03/07/2018,11 - 12,-3778,-2507,2405,2364,35,127,1275
03/07/2018,12 - 13,-3574,-2438,2246,2178,51,213,1295
03/07/2018,13 - 14,-3740,-2444,2363,2196,33,334,1210
03/07/2018,14 - 15,-3577,-2657,2379,2151,23,523,1238
03/07/2018,15 - 16,-3523,-2556,2267,2114,-4,519,1156
03/07/2018,16 - 17,-3022,-3122,2522,2111,-56,424,1213
03/07/2018,17 - 18,-3322,-3585,2616,2369,-145,422,1141
03/07/2018,18 - 19,-3803,-3904,2675,2526,-162,417,1101
03/07/2018,19 - 20,-3876,-3926,2620,2573,-151,288,1099
03/07/2018,20 - 21,-3680,-4080,2576,2561,-172,303,1009
03/07/2018,21 - 22,-3621,-4277,2699,2344,-214,418,1063
03/07/2018,22 - 23,-3830,-4174,2570,2172,-253,363,934
03/07/2018,23 - 00,-2121,-3748,2342,1995,-275,286,839
04/07/2018,00 - 01,-621,-3445,2199,2037,-216,229,839
04/07/2018,01 - 02,715,-3316,2088,1835,-195,214,1244
04/07/2018,02 - 03,1258,-3160,1847,1812,25,-252,1221
04/07/2018,03 - 04,1458,-3057,1818,1863,-286,196,1233
04/07/2018,04 - 05,1198,-3335,1974,1886,-255,213,1252
04/07/2018,05 - 06,243,-2970,2375,2073,-203,296,1013
04/07/2018,06 - 07,-2709,-3052,2496,2480,-147,398,1148
04/07/2018,07 - 08,-4321,-3247,2459,2930,-35,260,1239
04/07/2018,08 - 09,-4510,-3165,2293,3034,12,136,1288
04/07/2018,09 - 10,-4437,-2931,2325,3035,14,136,1342
04/07/2018,10 - 11,-4056,-2751,2289,3003,10,125,1373
04/07/2018,11 - 12,-3936,-2648,2197,2993,-11,108,1384
04/07/2018,12 - 13,-3653,-2556,2087,2893,12,126,1398
04/07/2018,13 - 14,-3830,-2512,2072,2865,2,153,1418
04/07/2018,14 - 15,-3881,-2250,2151,2716,-10,189,1278
04/07/2018,15 - 16,-3889,-2048,1999,2526,-27,336,1271
04/07/2018,16 - 17,-4089,-2351,1932,2464,-36,514,1196
04/07/2018,17 - 18,-4222,-2642,1726,2727,-72,472,1161
04/07/2018,18 - 19,-4094,-2818,1923,2610,-95,445,1203
04/07/2018,19 - 20,-3940,-2821,1903,2487,-133,427,1219
04/07/2018,20 - 21,-4160,-2714,1686,2399,-170,433,1092
04/07/2018,21 - 22,-4130,-2900,1916,2297,-281,404,1135
04/07/2018,22 - 23,-3821,-2455,1908,2060,-357,366,958
04/07/2018,23 - 00,-2485,-1498,1518,1958,-408,288,1064
05/07/2018,00 - 01,-1034,-1042,1320,1729,-444,239,903
05/07/2018,01 - 02,470,-855,1194,1724,-393,211,849
05/07/2018,02 - 03,1098,-870,1170,1726,-426,-113,846
05/07/2018,03 - 04,1357,-1009,1475,1697,-461,170,833
05/07/2018,04 - 05,1177,-1292,1938,1639,-358,193,878
05/07/2018,05 - 06,-495,-1369,2786,1808,-278,283,1021
05/07/2018,06 - 07,-2724,-1023,2914,2024,-317,391,1168
05/07/2018,07 - 08,-4003,-2047,2914,2418,-290,231,1280
05/07/2018,08 - 09,-4094,-2358,2614,2637,-280,111,1382
05/07/2018,09 - 10,-4047,-2026,2388,2636,-277,94,1384
05/07/2018,10 - 11,-4044,-1907,2317,2714,-247,92,1387
05/07/2018,11 - 12,-4133,-1654,2163,2694,-300,71,1370
05/07/2018,12 - 13,-4145,-1414,2132,2493,-256,94,1376
05/07/2018,13 - 14,-4014,-1323,2048,2184,-259,180,1340
05/07/2018,14 - 15,-3662,-1250,2059,1844,-277,447,1290
05/07/2018,15 - 16,-3248,-1398,2102,1679,-274,507,1244
05/07/2018,16 - 17,-3250,-1328,2136,1580,-289,500,1219
05/07/2018,17 - 18,-3175,-1369,1860,1594,-322,485,1200
05/07/2018,18 - 19,-3682,-1440,1906,1519,-354,466,1192
05/07/2018,19 - 20,-3788,-1298,1841,1385,-411,453,1155
05/07/2018,20 - 21,-3704,-1143,1750,1232,-392,429,1114
05/07/2018,21 - 22,-3066,-915,1992,974,-460,395,1090
05/07/2018,22 - 23,-2751,-1091,1958,975,-543,360,996
05/07/2018,23 - 00,-1006,-522,1650,884,-568,283,947
06/07/2018,00 - 01,-163,88,1354,699,-560,236,856
06/07/2018,01 - 02,1012,-8,1191,419,-563,209,804
06/07/2018,02 - 03,2081,-197,1132,109,-572,-86,778
06/07/2018,03 - 04,2511,-285,1212,33,-685,172,966
06/07/2018,04 - 05,2490,-756,1515,-60,-666,187,994
06/07/2018,05 - 06,1477,-903,2134,-15,-575,277,844
06/07/2018,06 - 07,-997,-1278,2676,185,-474,391,922
06/07/2018,07 - 08,-2629,-1474,2682,468,-352,239,1036
06/07/2018,08 - 09,-2929,-1358,2558,325,-281,226,1115
06/07/2018,09 - 10,-3166,-1009,2483,364,-259,241,1138
06/07/2018,10 - 11,-3199,-921,2433,390,-236,241,1121
06/07/2018,11 - 12,-3003,-837,2392,241,-237,214,1085
06/07/2018,12 - 13,-2711,-852,2434,-416,-215,302,1034
06/07/2018,13 - 14,-2154,-999,2463,-533,-174,342,983
06/07/2018,14 - 15,-1730,-931,2630,-697,-187,501,918
06/07/2018,15 - 16,-1310,-971,2596,-821,-222,477,910
06/07/2018,16 - 17,-879,-950,2616,-882,-235,492,873
06/07/2018,17 - 18,-343,-752,2506,-649,-256,489,863
06/07/2018,18 - 19,-335,-1054,2508,-393,-295,466,894
06/07/2018,19 - 20,-704,-1272,2385,-317,-297,446,900
06/07/2018,20 - 21,-131,-1689,2040,-341,-341,413,882
06/07/2018,21 - 22,220,-1510,2052,-223,-394,386,901
06/07/2018,22 - 23,454,-1182,1816,-149,-473,362,856
06/07/2018,23 - 00,1683,-970,1340,-285,-538,282,819
07/07/2018,00 - 01,1682,-616,1077,-543,-428,233,792
07/07/2018,01 - 02,2587,-672,1033,-765,-436,205,716
07/07/2018,02 - 03,2838,-701,930,-858,-710,75,812
07/07/2018,03 - 04,2975,-994,915,-860,-474,167,1033
07/07/2018,04 - 05,2847,-1302,1180,-923,-467,166,1055
07/07/2018,05 - 06,2861,-1334,1481,-917,-428,200,810
07/07/2018,06 - 07,2146,-1214,1799,-852,-384,267,898
07/07/2018,07 - 08,1992,-1049,2087,-869,-311,25,1003
07/07/2018,08 - 09,1577,-1686,1948,-787,-256,56,1088
07/07/2018,09 - 10,863,-1583,2041,-570,-235,111,1156
07/07/2018,10 - 11,891,-1337,2102,-462,-260,110,1151
07/07/2018,11 - 12,1018,-1373,2103,-360,-261,81,1120
07/07/2018,12 - 13,771,-1131,2078,-304,-256,78,1093
07/07/2018,13 - 14,977,-1204,2024,-261,-288,171,1032
07/07/2018,14 - 15,1327,-1206,1930,-267,-297,329,979
07/07/2018,15 - 16,1531,-1271,2088,-199,-289,357,916
07/07/2018,16 - 17,1776,-1378,2158,48,-272,357,879
07/07/2018,17 - 18,1514,-1527,2118,388,-271,367,869
07/07/2018,18 - 19,881,-1339,2079,639,-272,353,877
07/07/2018,19 - 20,1078,-1560,1953,756,-287,339,890
07/07/2018,20 - 21,1466,-1714,1587,914,-298,325,902
07/07/2018,21 - 22,1562,-1989,1733,939,-329,305,897
07/07/2018,22 - 23,1947,-1927,1689,968,-351,298,881
07/07/2018,23 - 00,1975,-1214,1362,814,-379,247,806
08/07/2018,00 - 01,2696,-1078,1133,687,-414,206,764
08/07/2018,01 - 02,3193,-1089,1004,775,-439,189,749
08/07/2018,02 - 03,3102,-1139,947,912,-447,-51,724
08/07/2018,03 - 04,3357,-1262,906,953,-300,127,682
08/07/2018,04 - 05,3258,-1177,1004,1041,-333,124,663
08/07/2018,05 - 06,2907,-1138,1153,1130,-320,144,723
08/07/2018,06 - 07,2026,-910,1274,1347,-294,197,810
08/07/2018,07 - 08,1207,-373,1489,1554,-251,97,912
08/07/2018,08 - 09,762,-376,1732,1732,-189,-1,963
08/07/2018,09 - 10,610,-855,1937,1846,-124,15,956
08/07/2018,10 - 11,135,-822,2010,1911,-80,28,957
08/07/2018,11 - 12,-62,-751,2079,1905,-122,24,942
08/07/2018,12 - 13,42,-890,2114,1790,-128,20,876
08/07/2018,13 - 14,225,-767,2108,1659,-155,110,880
08/07/2018,14 - 15,341,-781,2189,1509,-155,282,852
08/07/2018,15 - 16,566,-831,2288,1164,-132,334,869
08/07/2018,16 - 17,568,-767,2419,982,-149,334,883
08/07/2018,17 - 18,291,-751,2411,1249,-125,334,832
08/07/2018,18 - 19,-49,-795,2442,1356,-111,332,901
08/07/2018,19 - 20,-121,-1031,2318,1105,-126,332,951
08/07/2018,20 - 21,-377,-1429,1980,836,-149,316,977
08/07/2018,21 - 22,-186,-1711,2162,851,-166,300,966
08/07/2018,22 - 23,-725,-2110,2083,694,-175,280,796
08/07/2018,23 - 00,472,-1200,1833,403,-227,233,791
09/07/2018,00 - 01,1512,-710,1558,236,-238,192,735
09/07/2018,01 - 02,2402,-729,1567,4,-200,176,719
09/07/2018,02 - 03,2935,-548,1572,-373,-478,17,738
09/07/2018,03 - 04,3455,-636,1513,-679,-283,145,738
09/07/2018,04 - 05,3336,-961,1794,-908,-342,144,984
09/07/2018,05 - 06,2620,-861,2329,-1009,-373,183,960
09/07/2018,06 - 07,159,-1332,2689,-782,-259,247,1146
09/07/2018,07 - 08,-2063,-1924,2797,-407,-149,125,1246
09/07/2018,08 - 09,-2576,-1875,2760,-235,-91,106,1332
09/07/2018,09 - 10,-2226,-1643,2733,-507,-72,132,1328
09/07/2018,10 - 11,-1537,-1196,2746,-349,-66,146,1314
09/07/2018,11 - 12,-1615,-1046,2766,-284,-85,139,1334
09/07/2018,12 - 13,-1778,-1003,2708,-238,-71,151,1320
09/07/2018,13 - 14,-1796,-1061,2640,-88,-87,227,1330
09/07/2018,14 - 15,-1705,-1339,2547,-57,-101,339,1304
09/07/2018,15 - 16,-1615,-1302,2686,-199,-132,386,1272
09/07/2018,16 - 17,-1493,-1414,2696,-213,-152,420,1250
09/07/2018,17 - 18,-1782,-1650,2645,201,-182,414,1230
09/07/2018,18 - 19,-2537,-2067,2662,295,-206,397,1202
09/07/2018,19 - 20,-3335,-2139,2635,790,-181,392,1279
09/07/2018,20 - 21,-3122,-2199,2318,856,-183,374,1240
09/07/2018,21 - 22,-3339,-2259,2318,1172,-242,348,1201
09/07/2018,22 - 23,-2632,-2012,2350,1251,-289,320,1041
09/07/2018,23 - 00,-150,-1499,2017,1321,-364,269,994
10/07/2018,00 - 01,1329,-1302,1651,1242,-391,218,850
10/07/2018,01 - 02,2213,-1238,1606,1109,-400,195,775
10/07/2018,02 - 03,2860,-1266,1607,906,-422,-164,894
10/07/2018,03 - 04,3182,-1373,1583,884,-446,167,886
10/07/2018,04 - 05,3169,-1752,1624,748,-436,182,1060
10/07/2018,05 - 06,2025,-1573,1925,635,-348,261,1065
10/07/2018,06 - 07,-717,-1860,2271,1213,-225,373,1235
10/07/2018,07 - 08,-2895,-2641,2564,1399,-147,262,1337
10/07/2018,08 - 09,-3461,-2673,2677,1470,-197,235,1327
10/07/2018,09 - 10,-3876,-2356,2596,1456,-87,-79,1378
10/07/2018,10 - 11,-3831,-2238,2575,1381,-191,-81,1401
10/07/2018,11 - 12,-3825,-2262,2452,1471,-202,-99,1419
10/07/2018,12 - 13,-3680,-2282,2130,1364,-153,-89,1277
10/07/2018,13 - 14,-3574,-1908,2174,1190,-143,-15,1256
10/07/2018,14 - 15,-3431,-1693,2148,1309,-106,106,1351
10/07/2018,15 - 16,-3418,-1763,2214,1439,-119,385,1290
10/07/2018,16 - 17,-3306,-1863,2325,1815,-138,509,1246
10/07/2018,17 - 18,-3420,-2076,2404,2354,-158,425,1337
10/07/2018,18 - 19,-3557,-2537,2462,2588,-166,384,1310
10/07/2018,19 - 20,-3678,-2758,2277,2591,-176,412,1288
10/07/2018,20 - 21,-3529,-2695,2193,2431,-214,439,1255
10/07/2018,21 - 22,-3351,-2260,2306,2231,-259,408,1188
10/07/2018,22 - 23,-3451,-1869,2168,2124,-291,366,1070
10/07/2018,23 - 00,-1441,-493,1879,2081,-345,301,1108
11/07/2018,00 - 01,241,-341,1559,1887,-282,215,899
11/07/2018,01 - 02,556,-339,1575,1552,-78,175,827
11/07/2018,02 - 03,1083,-388,1557,1388,-57,-105,823
11/07/2018,03 - 04,1224,-547,1528,1324,-186,109,805
11/07/2018,04 - 05,1742,-1019,1660,1282,-229,27,924
11/07/2018,05 - 06,864,-1007,2068,1553,-259,91,1118
11/07/2018,06 - 07,-2197,-1389,2219,1799,-205,148,1273
11/07/2018,07 - 08,-4062,-2304,2234,2219,-97,142,1266
11/07/2018,08 - 09,-4254,-3012,2230,2446,-40,172,1388
11/07/2018,09 - 10,-4103,-2996,2205,2433,-36,211,1309
11/07/2018,10 - 11,-4052,-2720,2304,2376,-48,168,1323
11/07/2018,11 - 12,-4242,-2518,2402,2214,-63,-139,1487
11/07/2018,12 - 13,-4068,-2396,2517,2003,-46,-78,1366
11/07/2018,13 - 14,-4116,-2162,2452,1946,-58,-159,1465
11/07/2018,14 - 15,-3938,-2147,2591,1885,-61,-66,1433
11/07/2018,15 - 16,-4135,-2026,2594,1751,-81,297,1362
11/07/2018,16 - 17,-3954,-2095,2631,1659,-111,391,1314
11/07/2018,17 - 18,-3906,-2428,2605,1910,-142,432,1295
11/07/2018,18 - 19,-3857,-2909,2710,2086,-150,415,1270
11/07/2018,19 - 20,-4104,-3086,2575,2147,-162,411,1242
11/07/2018,20 - 21,-4157,-2675,2237,2228,-190,381,1219
11/07/2018,21 - 22,-4020,-2488,2264,2091,-234,366,1156
11/07/2018,22 - 23,-3851,-2380,2053,2161,-258,373,1035
11/07/2018,23 - 00,-2266,-1339,1781,2170,-321,305,1049
12/07/2018,00 - 01,-339,-802,1674,2070,-363,259,1065
12/07/2018,01 - 02,139,-568,1597,2116,-375,228,1215
12/07/2018,02 - 03,548,-626,1599,2031,-213,-183,1212
12/07/2018,03 - 04,568,-651,1546,1928,-424,195,1343
12/07/2018,04 - 05,752,-1121,1664,1945,-415,201,1435
12/07/2018,05 - 06,-17,-929,2125,2034,-327,277,1383
12/07/2018,06 - 07,-1919,-1540,2373,2370,-218,157,1196
12/07/2018,07 - 08,-3991,-2445,2362,2518,-99,179,1320
12/07/2018,08 - 09,-4213,-2948,2748,2593,-55,57,1381
12/07/2018,09 - 10,-4140,-2883,2832,2639,-41,-290,1374
12/07/2018,10 - 11,-4264,-2882,2779,2679,-32,-136,1357
12/07/2018,11 - 12,-3998,-2628,2523,2580,-50,-129,1380
12/07/2018,12 - 13,-4000,-2271,2450,2522,-38,-197,1380
12/07/2018,13 - 14,-3773,-1528,2406,2583,-48,-194,1361
12/07/2018,14 - 15,-3391,-1632,2479,2432,-62,-83,1326
12/07/2018,15 - 16,-3176,-1601,2465,2161,-96,178,1394
12/07/2018,16 - 17,-3037,-1654,2434,2257,-116,514,1285
12/07/2018,17 - 18,-3665,-2140,2435,2493,-65,457,1085
12/07/2018,18 - 19,-3830,-2760,2454,2571,-100,467,1142
12/07/2018,19 - 20,-4134,-3099,2455,2543,-161,473,1174
12/07/2018,20 - 21,-4049,-2906,2232,2458,-189,439,1137
12/07/2018,21 - 22,-4094,-2605,2407,2406,-229,408,1158
12/07/2018,22 - 23,-4066,-1756,2236,2112,-268,359,1041
12/07/2018,23 - 00,-1858,-854,1953,1841,-340,309,950
13/07/2018,00 - 01,-561,-71,1824,1680,-474,258,903
13/07/2018,01 - 02,321,-103,1841,1646,-485,234,900
13/07/2018,02 - 03,642,-39,1790,1275,-408,-12,1128
13/07/2018,03 - 04,940,-229,1682,1261,-530,213,1118
13/07/2018,04 - 05,1195,-742,1800,1216,-500,217,1288
13/07/2018,05 - 06,568,-629,2243,1249,-421,279,1059
13/07/2018,06 - 07,-1862,-1237,2323,1643,-304,300,1233
13/07/2018,07 - 08,-4205,-1867,2422,1790,-194,396,1386
13/07/2018,08 - 09,-4469,-2209,2256,1930,-116,338,1450
13/07/2018,09 - 10,-3978,-1993,2188,1919,-121,278,1465
13/07/2018,10 - 11,-3450,-1562,2330,1888,-117,245,1446
13/07/2018,11 - 12,-2866,-1392,2367,1679,-133,278,1428
13/07/2018,12 - 13,-2881,-863,2303,1372,-122,366,1432
13/07/2018,13 - 14,-2880,-925,2267,1225,-112,368,1417
13/07/2018,14 - 15,-2289,-957,2433,1015,-128,394,1364
13/07/2018,15 - 16,-2200,-980,2501,815,-177,516,1245
13/07/2018,16 - 17,-2083,-1160,2675,654,-190,474,1343
13/07/2018,17 - 18,-3049,-1128,2650,925,-9,399,1191
13/07/2018,18 - 19,-3717,-1684,2753,680,42,321,1087
13/07/2018,19 - 20,-3815,-2143,2691,483,-37,409,1098
13/07/2018,20 - 21,-3676,-2023,2270,575,-5,310,1081
13/07/2018,21 - 22,-3574,-1932,2370,604,-55,360,1130
13/07/2018,22 - 23,-3639,-1281,2454,655,-254,338,1049
13/07/2018,23 - 00,-1422,-739,2204,562,-399,279,935
14/07/2018,00 - 01,-597,-195,1893,186,-366,286,905
14/07/2018,01 - 02,276,-274,1702,64,-386,285,883
14/07/2018,02 - 03,1068,-187,1649,239,-325,-43,872
14/07/2018,03 - 04,1842,-435,1513,351,-463,248,1077
14/07/2018,04 - 05,2145,-855,1544,568,-470,246,1056
14/07/2018,05 - 06,1915,-952,1799,663,-429,283,1119
14/07/2018,06 - 07,958,-685,2005,693,-383,338,1006
14/07/2018,07 - 08,559,-303,2157,864,-232,325,1099
14/07/2018,08 - 09,-916,-57,2282,1067,-241,374,1132
14/07/2018,09 - 10,-1007,-473,2334,1151,-218,332,1265
14/07/2018,10 - 11,-819,-388,2366,1198,-219,287,1273
14/07/2018,11 - 12,-694,-447,2338,1073,-236,279,1249
14/07/2018,12 - 13,-355,-322,2302,914,-240,315,1241
14/07/2018,13 - 14,11,-11,2239,729,-257,309,1174
14/07/2018,14 - 15,266,170,2315,528,-271,385,1125
14/07/2018,15 - 16,428,252,2369,389,-270,414,1086
14/07/2018,16 - 17,347,221,2433,382,-251,462,1083
14/07/2018,17 - 18,68,148,2538,542,-254,453,1084
14/07/2018,18 - 19,-1267,-115,2516,733,-269,441,1074
14/07/2018,19 - 20,-2696,-393,2394,846,-286,437,1072
14/07/2018,20 - 21,-3271,-582,2143,1048,-317,415,1048
14/07/2018,21 - 22,-2990,-903,2297,1124,-353,398,1032
14/07/2018,22 - 23,-3109,-957,2323,1134,-360,377,961
14/07/2018,23 - 00,-659,-850,2072,943,-394,321,863
15/07/2018,00 - 01,1320,-1195,1792,691,-328,274,790
15/07/2018,01 - 02,2569,-1350,1740,614,-344,251,761
15/07/2018,02 - 03,2792,-1548,1572,782,-133,-164,1113
15/07/2018,03 - 04,2766,-1592,1385,774,-405,219,1135
15/07/2018,04 - 05,2841,-1726,1318,827,-404,213,1249
15/07/2018,05 - 06,2685,-1608,1413,873,-375,236,1157
15/07/2018,06 - 07,2104,-1293,1585,1011,-319,200,1079
15/07/2018,07 - 08,1249,-1024,1818,1182,-241,152,994
15/07/2018,08 - 09,423,-717,1838,1295,-178,155,1127
15/07/2018,09 - 10,-98,-495,1933,1422,-156,194,1173
15/07/2018,10 - 11,-386,-305,2103,1473,-147,199,1163
15/07/2018,11 - 12,-351,-205,2126,1456,-168,192,1117
15/07/2018,12 - 13,-26,-345,1943,1425,-152,182,1087
15/07/2018,13 - 14,176,-454,1940,1365,-196,180,1075
15/07/2018,14 - 15,168,-453,1971,1314,-197,167,1021
15/07/2018,15 - 16,213,-589,1987,1342,-186,201,1039
15/07/2018,16 - 17,-44,-590,2005,1464,-180,343,1018
15/07/2018,17 - 18,-578,-621,2111,1822,-181,454,1023
15/07/2018,18 - 19,-1388,-691,2322,2070,-185,457,1019
15/07/2018,19 - 20,-2558,-1110,2193,2115,-199,452,1058
15/07/2018,20 - 21,-3252,-1354,1999,2119,-218,443,1069
15/07/2018,21 - 22,-3742,-1566,2096,2077,-244,425,1032
15/07/2018,22 - 23,-3826,-1679,2008,2078,-264,383,868
15/07/2018,23 - 00,-1290,-1465,1779,1918,-324,310,786
16/07/2018,00 - 01,599,-1601,1663,1898,-540,259,717
16/07/2018,01 - 02,1866,-1685,1646,1777,-561,232,880
16/07/2018,02 - 03,2162,-1726,1652,1799,-342,-78,897
16/07/2018,03 - 04,2260,-1808,1585,1798,-595,219,911
16/07/2018,04 - 05,2438,-2100,1672,1759,-581,234,941
16/07/2018,05 - 06,1603,-1905,2181,1797,-499,319,946
16/07/2018,06 - 07,-1429,-2095,2592,1912,-378,354,1100
16/07/2018,07 - 08,-4264,-2119,2682,2196,-254,319,1298
16/07/2018,08 - 09,-4769,-2615,2659,2337,-185,353,1380
16/07/2018,09 - 10,-4609,-2603,2536,2281,-168,362,1337
16/07/2018,10 - 11,-4516,-2268,2532,2278,-166,332,1299
16/07/2018,11 - 12,-4393,-2223,2513,2223,-188,226,1339
16/07/2018,12 - 13,-4038,-1917,2608,2130,-188,47,1368
16/07/2018,13 - 14,-4034,-1432,2643,2135,-200,91,1359
16/07/2018,14 - 15,-3587,-1452,2657,2047,-224,124,1325
16/07/2018,15 - 16,-3742,-1754,2697,1900,-240,346,1268
16/07/2018,16 - 17,-3415,-1632,2582,1911,-201,534,1075
16/07/2018,17 - 18,-4318,-1996,2544,2135,-199,529,1061
16/07/2018,18 - 19,-4565,-2319,2615,2252,-216,467,1105
16/07/2018,19 - 20,-4574,-2611,2525,2160,-225,410,1225
16/07/2018,20 - 21,-4502,-2608,2414,2124,-264,376,1075
16/07/2018,21 - 22,-4716,-2617,2527,2051,-343,378,1127
16/07/2018,22 - 23,-4122,-2570,2339,2024,-452,363,987
16/07/2018,23 - 00,-941,-2098,2079,1839,-510,357,851
17/07/2018,00 - 01,1093,-1746,1730,1816,-558,313,764
17/07/2018,01 - 02,2098,-1830,1641,1760,-568,296,700
17/07/2018,02 - 03,2478,-1863,1481,1742,-356,-63,835
17/07/2018,03 - 04,2745,-2021,1342,1751,-629,248,887
17/07/2018,04 - 05,2813,-2561,1447,1821,-607,262,1006
17/07/2018,05 - 06,2336,-2566,1863,1934,-500,350,848
17/07/2018,06 - 07,-426,-2364,2303,2077,-370,382,1044
17/07/2018,07 - 08,-3615,-2533,2484,2328,-232,343,1273
17/07/2018,08 - 09,-4632,-2440,2402,2608,-167,350,1337
17/07/2018,09 - 10,-4647,-2032,2522,2674,-175,365,1318
17/07/2018,10 - 11,-4122,-1611,2581,2661,-206,351,1267
17/07/2018,11 - 12,-3886,-1429,2705,2632,-252,322,1211
17/07/2018,12 - 13,-3314,-929,2550,2553,-245,348,1319
17/07/2018,13 - 14,-2662,-530,2355,2532,-261,395,1252
17/07/2018,14 - 15,-2659,-656,2651,2501,-285,358,1182
17/07/2018,15 - 16,-2742,-867,2736,2362,-315,421,1081
17/07/2018,16 - 17,-2520,-966,2721,2303,-323,549,1013
17/07/2018,17 - 18,-2854,-932,2644,2520,-335,584,890
17/07/2018,18 - 19,-3345,-1472,2603,2681,-351,540,988
17/07/2018,19 - 20,-4010,-2007,2569,2542,-355,565,1079
17/07/2018,20 - 21,-4114,-2185,2388,2558,-332,522,1005
17/07/2018,21 - 22,-3655,-2080,2522,2489,-400,478,1035
17/07/2018,22 - 23,-3266,-2377,2299,2394,-458,469,874
17/07/2018,23 - 00,-427,-1738,1917,2120,-537,372,785
18/07/2018,00 - 01,1404,-1668,1337,1906,-572,320,720
18/07/2018,01 - 02,2478,-1628,949,1709,-590,274,977
18/07/2018,02 - 03,2918,-1719,720,1738,-355,-87,1090
18/07/2018,03 - 04,3211,-1882,605,1721,-647,260,1098
18/07/2018,04 - 05,3218,-2496,804,1741,-615,279,1331
18/07/2018,05 - 06,2567,-2551,1570,1689,-525,359,1257
18/07/2018,06 - 07,822,-2614,2198,1795,-417,374,1095
18/07/2018,07 - 08,-2213,-2597,2513,1900,-406,310,1322
18/07/2018,08 - 09,-3469,-2421,2421,1964,-422,275,1418
18/07/2018,09 - 10,-3735,-1772,2663,1994,-338,223,1433
18/07/2018,10 - 11,-2790,-1337,2991,1981,-352,47,1301
18/07/2018,11 - 12,-2754,-1215,2985,1844,-431,114,1104
18/07/2018,12 - 13,-2499,-1041,3064,1626,-523,133,1176
18/07/2018,13 - 14,-2343,-937,2983,1455,-546,185,1295
18/07/2018,14 - 15,-1951,-1194,2909,1308,-416,175,1282
18/07/2018,15 - 16,-1611,-1329,2931,1064,-437,225,1243
18/07/2018,16 - 17,-1390,-1480,2941,1056,-447,358,1248
18/07/2018,17 - 18,-2030,-1476,2932,1115,-464,399,1205
18/07/2018,18 - 19,-2952,-2006,2842,1043,-483,383,1179
18/07/2018,19 - 20,-3792,-2349,2816,1038,-470,468,1119
18/07/2018,20 - 21,-4040,-2890,2841,1245,-460,504,1061
18/07/2018,21 - 22,-3431,-3239,2737,1092,-457,418,1050
18/07/2018,22 - 23,-2561,-3465,2900,1136,-530,421,954
18/07/2018,23 - 00,53,-2183,2784,955,-629,381,794
